epoch_index,tx_hour,rx_shard,avg_latency_sec,p50_latency_sec,p80_latency_sec,p90_latency_sec,p95_latency_sec,p99_latency_sec
3060.0,0,0,4.1209121202727816,3,6,6,7,10
3060.0,0,1,2.4132762312633838,2,3,3,5,6
3060.0,0,2,4.3551811578630657,4,6,6,7,10
3060.0,0,4,4.3528794182836261,4,6,7,7,10
3060.0,0,5,3.6795091324200921,3,6,6,7,11
3060.0,0,6,2.198326771653544,2,2,3,4,5
3060.0,0,7,3.8663044093507666,3,5,6,6,9
3060.0,1,0,4.0813673403146735,3,5,6,8,10
3060.0,1,1,2.534117647058824,2,3,4,5,7
3060.0,1,2,4.3403203378482766,3,6,7,9,11
3060.0,1,4,4.7277271915729315,4,6,7,9,12
3060.0,1,5,3.921432502222411,3,6,7,8,11
3060.0,1,6,2.19375869899641,2,2,3,4,5
3060.0,1,7,3.7704011065006915,3,5,6,7,9
3060.0,2,0,4.3431769830817526,4,6,7,8,10
3060.0,2,1,2.4874141876430205,2,3,4,5,6
3060.0,2,2,4.5167420814479637,4,6,7,9,11
3060.0,2,4,4.697722793956645,4,6,8,9,10
3060.0,2,5,3.8604825291181379,3,6,7,8,10
3060.0,2,6,2.3076553076553075,2,3,3,4,6
3060.0,2,7,3.9817682403433494,3,5,6,7,9
3060.0,3,0,4.315545069842341,3,6,7,8,12
3060.0,3,1,2.5370138017565873,2,3,4,5,7
3060.0,3,2,4.44580193516743,4,6,7,9,12
3060.0,3,4,4.6298060329950994,4,6,7,9,11
3060.0,3,5,3.8984300170740855,3,6,7,8,10
3060.0,3,6,2.3026267215675129,2,3,3,4,5
3060.0,3,7,3.9798735572182586,3,5,6,7,10
3060.0,4,0,3.5105344601833113,3,4,6,6,8
3060.0,4,1,1.9737354085603114,2,2,2,2,3
3060.0,4,2,3.5519319525498712,3,4,6,7,9
3060.0,4,4,3.4526912023214931,3,4,5,6,9
3060.0,4,5,3.2482979413195019,3,4,6,6,10
3060.0,4,6,1.9390976748486108,2,2,2,2,3
3060.0,4,7,3.2622904412921088,3,3,4,5,8
3060.0,5,0,3.4274836196210385,3,4,5,6,8
3060.0,5,1,1.9333333333333333,2,2,2,2,3
3060.0,5,2,3.415404178019982,3,4,5,6,8
3060.0,5,4,3.3574533296182789,3,3,5,6,8
3060.0,5,5,3.1859931113662454,3,4,5,6,9
3060.0,5,6,1.9288248287556615,2,2,2,2,3
3060.0,5,7,3.1796976700937813,3,3,4,5,7
3060.0,6,0,3.5956658537039434,3,4,6,7,9
3060.0,6,1,1.992459943449576,2,2,2,2,4
3060.0,6,2,3.5608211551844136,3,4,6,7,9
3060.0,6,4,3.5390831266501319,3,4,6,7,9
3060.0,6,5,3.4181407053503041,3,5,6,7,11
3060.0,6,6,1.9815281899109793,2,2,2,2,4
3060.0,6,7,3.3166130891005041,3,3,4,5,8
3060.0,7,0,3.5732174273000097,3,4,6,7,9
3060.0,7,1,1.9818325434439181,2,2,2,2,4
3060.0,7,2,3.5291196056068586,3,4,6,7,9
3060.0,7,4,3.4848754695978861,3,4,6,7,9
3060.0,7,5,3.4397698369678524,3,5,6,7,10
3060.0,7,6,1.9602132569427877,2,2,2,2,3
3060.0,7,7,3.2671923510179397,3,3,4,5,8
3060.0,8,0,3.5644924558210529,3,4,6,6,8
3060.0,8,1,1.9923150816522579,2,2,2,2,4
3060.0,8,2,3.6217496088960308,3,4,6,6,10
3060.0,8,4,3.5519015306927568,3,4,6,7,8
3060.0,8,5,3.442834336239716,3,5,6,7,9
3060.0,8,6,1.9737856395333997,2,2,2,2,4
3060.0,8,7,3.2528645087367525,3,3,4,5,7
3060.0,9,0,3.5261297186803611,3,4,6,7,9
3060.0,9,1,1.9204025617566332,2,2,2,2,3
3060.0,9,2,3.6309176291407539,3,5,6,7,9
3060.0,9,4,3.5978223024087614,3,4,6,7,9
3060.0,9,5,3.459342491860558,3,5,6,7,10
3060.0,9,6,1.9554561314649108,2,2,2,2,3
3060.0,9,7,3.2706648635222035,3,3,4,5,8
3060.0,10,0,3.624864163774669,3,5,6,7,8
3060.0,10,1,1.9990574929311975,2,2,2,2,3
3060.0,10,2,3.7013141683778246,3,5,6,7,9
3060.0,10,4,3.5844947458649488,3,4,6,7,9
3060.0,10,5,3.3835171445758978,3,5,6,7,9
3060.0,10,6,1.9751417099669346,2,2,2,2,3
3060.0,10,7,3.2436172809372708,3,3,4,5,7
3060.0,11,0,3.6570665448347364,3,4,6,7,9
3060.0,11,1,2.0050050050050059,2,2,2,3,4
3060.0,11,2,3.712626995645862,3,5,6,7,9
3060.0,11,4,3.6078709288299144,3,4,6,7,9
3060.0,11,5,3.5348374760994257,3,5,6,7,9
3060.0,11,6,1.993655411469778,2,2,2,3,4
3060.0,11,7,3.3248296187143125,3,3,4,6,8
3060.0,12,0,4.47211066488175,3,6,10,10,10
3060.0,12,1,1.9999999999999996,2,2,2,2,2
3060.0,12,2,4.2058130400628437,3,6,9,9,11
3060.0,12,4,4.3787740164684381,3,6,9,10,10
3060.0,12,5,3.7496671105193085,3,5,7,10,11
3060.0,12,6,1.9964717741935485,2,2,2,2,3
3060.0,12,7,3.896838602329451,3,4,10,10,10
3061.0,0,0,3.9638404327248162,3,5,5,5,6
3061.0,0,1,1.9317738791423005,2,2,2,2,2
3061.0,0,2,4.0283270833895379,4,5,5,5,7
3061.0,0,4,4.1608634819108534,5,5,5,5,7
3061.0,0,5,3.4140545808966865,3,5,5,5,6
3061.0,0,6,1.8610899258129376,2,2,2,2,2
3061.0,0,7,3.9797697191434414,4,5,5,5,6
3061.0,1,0,3.9605030747088841,3,5,5,5,6
3061.0,1,1,1.8299445471349349,2,2,2,2,2
3061.0,1,2,4.0037567022984177,3,5,5,5,7
3061.0,1,4,4.1189990732159432,5,5,5,5,7
3061.0,1,5,3.4237208364149803,3,5,5,5,7
3061.0,1,6,1.8767599358403138,2,2,2,2,2
3061.0,1,7,3.5371396585502377,3,5,5,5,6
3061.0,12,0,4.12125176091769,3,6,7,7,9
3061.0,12,1,2.1939078751857362,2,2,3,4,5
3061.0,12,2,3.9339121043449361,3,5,6,7,10
3061.0,12,4,4.0395957269877831,3,5,7,7,10
3061.0,12,5,3.581839858472426,3,5,6,7,10
3061.0,12,6,2.0926994906621381,2,2,3,3,4
3061.0,12,7,3.5495863148479434,3,4,5,6,7
3061.0,13,0,4.1773761320736291,3,6,7,8,10
3061.0,13,1,2.1185243328100474,2,2,3,3,6
3061.0,13,2,3.9361042908920849,3,5,6,7,9
3061.0,13,4,4.0646631224910506,3,6,7,7,9
3061.0,13,5,3.7140644717219224,3,6,6,7,9
3061.0,13,6,2.0501678148736966,2,2,2,3,4
3061.0,13,7,3.7953666330306093,3,5,6,7,9
3061.0,14,0,4.5011057792614233,4,6,7,8,10
3061.0,14,1,2.2195121951219514,2,2,3,4,5
3061.0,14,2,4.3070097063720922,4,6,6,7,10
3061.0,14,4,4.5858589367282079,4,6,7,8,11
3061.0,14,5,3.9441349673722743,3,6,7,8,10
3061.0,14,6,2.070451850876037,2,2,2,3,4
3061.0,14,7,4.0543887684054321,3,6,6,7,9
3061.0,15,0,4.3472543146484082,5,6,6,7,9
3061.0,15,1,2.0697858842188741,2,2,3,3,4
3061.0,15,2,4.2292198788586433,4,6,6,7,9
3061.0,15,4,4.35433043478261,4,6,6,7,9
3061.0,15,5,3.6325429301502772,3,6,6,6,8
3061.0,15,6,2.0107640354579988,2,2,2,3,4
3061.0,15,7,3.9784317309449819,3,6,6,6,8
3061.0,16,0,4.06381284830669,4,5,5,6,7
3061.0,16,1,1.968113374667847,2,2,2,2,3
3061.0,16,2,4.1086044071353633,4,5,6,6,9
3061.0,16,4,3.9568959509373469,4,5,5,6,7
3061.0,16,5,3.4972683083597791,3,5,5,6,7
3061.0,16,6,1.9209492140266022,2,2,2,2,3
3061.0,16,7,3.7865773109514458,3,5,5,6,7
3061.0,17,0,3.7310858486867895,3,5,5,5,7
3061.0,17,1,1.9091620986687552,2,2,2,2,2
3061.0,17,2,3.8591589861751157,3,5,5,6,8
3061.0,17,4,3.7004925075971911,3,5,5,5,7
3061.0,17,5,3.359749904069699,3,5,5,5,7
3061.0,17,6,1.8888272942599402,2,2,2,2,2
3061.0,17,7,3.5660930368881627,3,5,5,5,7
3061.0,18,0,4.1765126463490931,5,5,5,6,8
3061.0,18,1,1.9040444091990485,2,2,2,2,3
3061.0,18,2,4.1781692750648531,5,5,5,6,8
3061.0,18,4,4.1909466640425119,5,5,5,6,7
3061.0,18,5,3.3555871711104079,3,5,5,6,7
3061.0,18,6,1.8864339510609707,2,2,2,2,3
3061.0,18,7,4.0430788977578134,4,5,5,6,7
3061.0,19,0,3.4196337370494669,3,5,5,6,7
3061.0,19,1,1.9456838021338507,2,2,2,2,3
3061.0,19,2,3.537838920032033,3,5,5,6,8
3061.0,19,4,3.361754824259132,3,5,5,6,7
3061.0,19,5,3.2735526651364451,3,5,5,6,8
3061.0,19,6,1.9164871902021916,2,2,2,2,3
3061.0,19,7,3.134557147763104,3,3,5,5,6
3061.0,20,0,4.1119383298648771,5,5,5,6,7
3061.0,20,1,1.9272540983606563,2,2,2,2,3
3061.0,20,2,4.0283351766998461,3,5,5,6,7
3061.0,20,4,4.0835019608545373,4,5,6,6,8
3061.0,20,5,3.462372696882531,3,5,5,6,7
3061.0,20,6,1.8856260997490411,2,2,2,2,3
3061.0,20,7,3.796655204751485,3,5,5,6,6
3061.0,21,0,4.1317699434107169,5,5,5,6,7
3061.0,21,1,1.9293248945147674,2,2,2,2,3
3061.0,21,2,4.0917455464754,4,5,5,6,7
3061.0,21,4,4.1529147982062806,5,5,5,6,8
3061.0,21,5,3.3706643556360922,3,5,5,6,7
3061.0,21,6,1.88534744565054,2,2,2,2,3
3061.0,21,7,3.8109725007648114,3,5,5,6,7
3061.0,22,0,3.2949714798039906,3,5,5,5,6
3061.0,22,1,1.8648648648648647,2,2,2,2,2
3061.0,22,2,3.4359759013101274,3,5,5,6,8
3061.0,22,4,3.2787396797191595,3,5,5,6,7
3061.0,22,5,3.2009248045799845,3,5,5,6,8
3061.0,22,6,1.8959116826398152,2,2,2,2,3
3061.0,22,7,3.1402135780099458,3,3,5,5,6
3061.0,23,0,3.652228186243915,3,5,5,6,7
3061.0,23,1,1.9187279151943464,2,2,2,2,4
3061.0,23,2,3.9056271186440688,3,5,6,6,8
3061.0,23,4,3.7399910455498748,3,5,6,6,7
3061.0,23,5,3.4368486869528976,3,5,6,6,8
3061.0,23,6,1.9163527823182434,2,2,2,2,3
3061.0,23,7,3.5356042173560409,3,5,5,6,7
3062.0,1,0,3.8840589887640449,3,5,5,5,6
3062.0,1,1,1.8758169934640527,2,2,2,2,2
3062.0,1,2,3.9501327000977793,3,5,5,5,6
3062.0,1,4,4.0865881835185434,5,5,5,5,6
3062.0,1,5,3.4478970495919645,3,5,5,5,6
3062.0,1,6,1.870967741935484,2,2,2,2,2
3062.0,1,7,3.58808325397905,3,5,5,5,6
3062.0,2,0,4.0866018534615351,5,5,5,6,6
3062.0,2,1,1.87716955941255,2,2,2,2,3
3062.0,2,2,4.0789317354133834,5,5,5,6,7
3062.0,2,4,4.1346925015082165,5,5,5,6,7
3062.0,2,5,3.4703845321405384,3,5,5,5,6
3062.0,2,6,1.8522026659318707,2,2,2,2,2
3062.0,2,7,3.8716997736987668,3,5,5,5,6
3062.0,3,0,3.9378361555771888,3,5,6,8,11
3062.0,3,1,1.9837037037037044,2,2,2,3,4
3062.0,3,2,4.2400399027370774,3,5,7,9,13
3062.0,3,4,3.9318221485295393,3,5,6,8,11
3062.0,3,5,3.6168710049250752,3,5,6,7,11
3062.0,3,6,1.96309056432444,2,2,2,3,4
3062.0,3,7,3.6961109719438885,3,5,5,7,11
3062.0,4,0,3.0316318351547391,3,3,5,5,7
3062.0,4,1,1.9370199692780332,2,2,2,2,3
3062.0,4,2,3.4206152185644902,3,4,5,7,10
3062.0,4,4,2.9913256454740287,3,3,4,5,8
3062.0,4,5,3.3624266029329313,3,5,5,6,11
3062.0,4,6,1.9477843056883906,2,2,2,2,3
3062.0,4,7,2.890358612580834,3,3,3,4,6
3062.0,5,0,3.8767571051500824,3,5,5,6,6
3062.0,5,1,1.8547655068078668,2,2,2,2,2
3062.0,5,2,3.8644977544090273,3,5,5,6,7
3062.0,5,4,3.8703832617859768,3,5,5,6,7
3062.0,5,5,3.4756501894591807,3,5,5,6,7
3062.0,5,6,1.8723158515026521,2,2,2,2,2
3062.0,5,7,3.4773525027648216,3,5,5,5,6
3062.0,6,0,3.9810521555622542,3,5,5,6,7
3062.0,6,1,2.2619469026548673,2,2,4,4,4
3062.0,6,2,3.8628655499057905,3,5,5,6,7
3062.0,6,4,3.8561197335286019,3,5,5,6,7
3062.0,6,5,3.4355303074217916,3,5,5,6,6
3062.0,6,6,1.8615201062935551,2,2,2,2,3
3062.0,6,7,3.766875041564143,3,5,5,6,6
3062.0,7,0,4.1110992724283824,5,5,5,6,8
3062.0,7,1,2.7746478873239435,2,4,4,4,5
3062.0,7,2,4.0131928287943062,3,5,5,6,7
3062.0,7,4,4.0828373782655731,5,5,5,6,7
3062.0,7,5,3.47214880271411,3,5,5,6,6
3062.0,7,6,1.861860415328624,2,2,2,2,2
3062.0,7,7,3.834633843742858,3,5,5,6,6
3062.0,8,0,4.0649912174030529,5,5,5,6,7
3062.0,8,1,2.3545389563974273,2,4,4,4,4
3062.0,8,2,3.9633719497165392,3,5,5,6,7
3062.0,8,4,4.0783319292333626,5,5,5,6,7
3062.0,8,5,3.4376845100480171,3,5,5,6,7
3062.0,8,6,1.8691483509286673,2,2,2,2,2
3062.0,8,7,3.6859649122807,3,5,5,5,6
3062.0,9,0,4.0409836065573774,3,5,6,6,8
3062.0,9,1,1.9537037037037035,2,2,2,2,3
3062.0,9,2,4.2064677277920977,5,5,6,6,8
3062.0,9,4,4.27578366369285,5,5,6,6,8
3062.0,9,5,3.6058560612970902,3,5,5,6,8
3062.0,9,6,1.8780012805463664,2,2,2,2,2
3062.0,9,7,3.6872220378360443,3,5,5,6,7
3062.0,10,0,3.1094378436828292,3,3,5,5,6
3062.0,10,1,1.9041248606465997,2,2,2,2,3
3062.0,10,2,3.3149106748311348,3,5,5,6,8
3062.0,10,4,3.1113235326433295,3,4,5,5,7
3062.0,10,5,3.1603858009346721,3,5,5,6,7
3062.0,10,6,1.874787636732139,2,2,2,2,3
3062.0,10,7,2.9922939573348355,3,3,3,5,6
3062.0,11,0,2.8611809140890339,3,3,3,5,6
3062.0,11,1,1.9108367626886145,2,2,2,2,3
3062.0,11,2,3.0354103455931338,3,3,5,6,8
3062.0,11,4,2.7095908433100906,3,3,3,5,7
3062.0,11,5,3.0681559081805569,3,4,5,6,9
3062.0,11,6,1.873178797616448,2,2,2,2,3
3062.0,11,7,2.7996011467032287,3,3,3,3,4
3062.0,12,0,3.0732677313883303,3,3,5,5,6
3062.0,12,1,1.902948402948403,2,2,2,2,3
3062.0,12,2,3.7397497877993873,3,5,6,8,14
3062.0,12,4,2.9945346658338541,3,3,5,5,7
3062.0,12,5,3.5548600448801224,3,5,6,8,14
3062.0,12,6,1.9181708412025142,2,2,2,2,4
3062.0,12,7,2.9226435697622484,3,3,3,4,5
3062.0,13,0,3.4953668294404889,3,5,5,5,6
3062.0,13,1,1.9153498871331833,2,2,2,2,3
3062.0,13,2,3.5782969815652659,3,5,5,6,7
3062.0,13,4,3.5930892212480661,3,5,5,6,7
3062.0,13,5,3.2051680431760561,3,5,5,5,6
3062.0,13,6,1.8709944830346166,2,2,2,2,2
3062.0,13,7,3.2328798072095584,3,3,5,5,6
3062.0,14,0,3.6382617180928025,3,5,5,6,6
3062.0,14,1,1.9396648044692733,2,2,2,2,3
3062.0,14,2,3.5742117976099679,3,5,5,6,7
3062.0,14,4,3.5984929791610769,3,5,5,6,7
3062.0,14,5,3.2140789400434224,3,5,5,6,6
3062.0,14,6,1.8645796976937732,2,2,2,2,3
3062.0,14,7,3.256356727340965,3,3,5,5,6
3062.0,15,0,3.5626510997110681,3,5,5,5,6
3062.0,15,1,1.9014084507042248,2,2,2,2,3
3062.0,15,2,3.5850495804729214,3,5,5,5,7
3062.0,15,4,3.8413272769266316,3,5,5,6,7
3062.0,15,5,3.1569201799351396,3,5,5,5,6
3062.0,15,6,1.8683065087559474,2,2,2,2,2
3062.0,15,7,3.2620259241478644,3,3,5,5,6
3063.0,15,0,3.6167074650813573,3,5,5,6,6
3063.0,15,1,2.0331950207468883,2,2,3,3,4
3063.0,15,2,3.725194437897716,3,5,5,6,7
3063.0,15,4,3.667080578581738,3,5,5,6,7
3063.0,15,5,3.2689694224235573,3,5,5,6,6
3063.0,15,6,1.9034542614129497,2,2,2,2,3
3063.0,15,7,3.3151657134982426,3,3,5,5,6
3063.0,16,0,3.5271798248125039,3,5,5,5,6
3063.0,16,1,2.8675626487470258,3,4,4,4,5
3063.0,16,2,3.6615790399155981,3,5,5,6,7
3063.0,16,4,3.7109118526140432,3,5,5,6,7
3063.0,16,5,3.2452718501198685,3,5,5,6,6
3063.0,16,6,1.8777417746759717,2,2,2,2,3
3063.0,16,7,3.286754381403088,3,3,5,5,6
3063.0,17,0,3.4560741201687044,3,5,5,5,6
3063.0,17,1,1.9217199558985665,2,2,2,2,3
3063.0,17,2,3.6279544589403749,3,5,5,5,7
3063.0,17,4,3.6830790230585491,3,5,5,5,7
3063.0,17,5,3.1793987905699508,3,5,5,5,6
3063.0,17,6,1.8569462834592512,2,2,2,2,2
3063.0,17,7,3.2306296903732421,3,3,5,5,6
3063.0,18,0,3.5459082939773494,3,5,5,5,6
3063.0,18,1,1.9027777777777783,2,2,2,2,2
3063.0,18,2,3.6848577457614788,3,5,5,5,7
3063.0,18,4,3.727991196478591,3,5,5,5,7
3063.0,18,5,3.1973633306550013,3,5,5,5,6
3063.0,18,6,1.8745889660211914,2,2,2,2,2
3063.0,18,7,3.2420619364954923,3,3,5,5,6
3063.0,19,0,3.47932695131262,3,5,5,5,6
3063.0,19,1,1.9052808046940486,2,2,2,2,2
3063.0,19,2,3.6542123226154128,3,5,5,5,7
3063.0,19,4,3.7138216788582534,3,5,5,5,7
3063.0,19,5,3.1598933649289092,3,5,5,5,6
3063.0,19,6,1.8629018768191097,2,2,2,2,2
3063.0,19,7,3.2358769293464431,3,3,5,5,5
3063.0,20,0,3.5461511333397455,3,5,5,5,6
3063.0,20,1,1.8728270814272643,2,2,2,2,3
3063.0,20,2,3.6440631340050196,3,5,5,5,7
3063.0,20,4,3.7344154854442917,3,5,5,6,7
3063.0,20,5,3.2131698572251741,3,5,5,5,6
3063.0,20,6,1.8773771301555935,2,2,2,2,2
3063.0,20,7,3.21950761135125,3,3,5,5,5
3063.0,21,0,3.5278842126491159,3,5,5,5,6
3063.0,21,1,1.9268292682926824,2,2,2,2,2
3063.0,21,2,3.7082157355499712,3,5,5,5,7
3063.0,21,4,3.7352949137861029,3,5,5,5,7
3063.0,21,5,3.199563454942314,3,5,5,5,6
3063.0,21,6,1.8738479089735509,2,2,2,2,2
3063.0,21,7,3.2304915110938461,3,3,5,5,5
3063.0,22,0,3.5352218030441005,3,5,5,5,6
3063.0,22,1,1.9254727474972191,2,2,2,2,3
3063.0,22,2,3.75197198969736,3,5,5,5,7
3063.0,22,4,3.7861797030118303,3,5,5,6,7
3063.0,22,5,3.1751573088092919,3,5,5,5,6
3063.0,22,6,1.8674675663073599,2,2,2,2,2
3063.0,22,7,3.2464096373547044,3,3,5,5,6
3063.0,23,0,3.5074693636261949,3,5,5,5,6
3063.0,23,1,1.86576354679803,2,2,2,2,2
3063.0,23,2,3.7502403846153847,3,5,5,5,7
3063.0,23,4,3.7214541878759833,3,5,5,5,6
3063.0,23,5,3.1510758255666778,3,5,5,5,6
3063.0,23,6,1.8659854724915721,2,2,2,2,2
3063.0,23,7,3.2524033647105943,3,3,5,5,5




